,Country,Participated,Titles,Played,Win,Draw,Loss,Goals For,Goals Against,Pts,Goal Diff
1,Spain,152,19,1379,717,313,349,2476,1492,1747,984
2,England,140,15,1278,676,280,322,2289,1299,1632,990
3,Germany,171,8,1216,573,250,393,2128,1589,1396,539
4,Italy,142,12,1127,528,285,314,1731,1219,1341,512
5,France,118,1,810,337,178,295,1214,1003,852,211
6,Portugal,109,4,708,296,161,251,1064,889,753,175
7,Netherlands,99,6,577,228,147,202,864,723,603,141
8,Scotland,80,1,443,186,89,168,648,582,461,66
9,Ukraine,68,0,430,171,98,161,589,571,440,18
10,Belguim,89,0,460,155,100,205,602,722,410,-120
11,Greece,89,0,447,140,112,195,522,667,392,-145
12,Russia,65,0,407,130,97,180,497,595,357,-98
13,Turkey,90,0,423,129,94,200,469,697,352,-228
14,Czech Republic,73,0,336,127,74,135,435,494,328,-59
15,Austria,80,0,343,129,66,148,491,529,324,-38
16,Switzerland,80,0,339,119,69,151,473,576,307,-103
17,Serbia,53,1,269,118,59,92,454,351,295,103
18,Romania,74,1,321,106,78,137,417,473,290,-56
19,Swedend,68,0,292,105,62,125,369,439,272,-70
20,Hungary,67,0,268,103,53,112,423,442,259,-19
21,Poland,67,0,258,109,38,111,379,399,256,-20
22,Denmark,76,0,301,93,69,139,372,500,255,-128
23,Bulgaria,63,0,254,91,49,114,362,382,231,-20
24,Norway,66,0,271,83,59,129,357,446,225,-89
25,Croatia,38,0,207,86,44,77,300,278,216,22
26,Cyprus,58,0,215,65,47,103,234,370,177,-136
27,Slovakia,36,0,156,61,36,59,202,204,158,-2
28,Israel,32,0,155,55,32,68,216,235,142,-19
29,Belarus,28,0,137,45,40,52,152,191,130,-39
30,Finland,61,0,185,52,25,108,194,397,129,-203
31,SLovenia,28,0,120,49,23,48,151,173,121,-22
32,Moldova,27,0,114,43,22,49,126,122,108,4
33,Azerbaijan,24,0,93,31,28,34,98,113,90,-15
34,Ireland,64,0,164,25,39,100,129,355,89,-226
35,Kazakhstan,20,0,73,27,20,26,90,106,74,-16
36,Albania,45,0,114,24,20,70,85,188,68,-103
37,Lithuania,28,0,84,25,16,43,87,137,66,-50
38,Malta,59,0,138,23,18,97,92,377,64,-285
39,Northern Ireland,60,0,139,14,36,89,101,326,64,-225
40,Latvia,28,0,83,24,14,45,86,131,62,-45
41,Iceland,56,0,131,20,22,89,108,323,62,-215
42,Georgia,28,0,81,23,12,46,88,133,58,-45
43,Armenia,27,0,79,20,17,42,74,121,57,-47
44,Luxemborg,65,0,145,19,16,110,117,473,54,-356
45,Bosnia and Herzegovina,26,0,68,20,10,38,65,108,50,-43
46,North Macedonia,27,0,77,14,22,41,67,114,50,-47
47,Estonia,28,0,68,13,15,40,59,125,41,-66
48,Wales,27,0,65,16,7,42,56,148,39,-92
49,Faroe Island,28,0,62,10,11,41,55,157,31,-102
50,Montegro,16,0,39,6,6,27,27,76,18,-49
51,Gibraltar,9,0,22,7,3,12,25,38,17,-13
52,Kosovo,6,0,17,7,2,8,21,25,16,-4
53,Andorra,16,0,33,4,6,23,21,70,14,-49
54,San Marino,16,0,27,1,3,23,10,68,5,-58
