,Player,Club,Appearances
0,Cristiano Ronaldo,Real Madrid CF,101
1,Cristiano Ronaldo,Juventus,23
2,Cristiano Ronaldo,Manchester United FC,59
3,Iker Casillas,Real Madrid CF,150
4,Iker Casillas,FC Porto,27
5,Lionel Messi,FC Barcelona,149
6,Lionel Messi,Paris Saint-Germain,14
7,Karim Benzema,Olympique Lyonnais,19
8,Karim Benzema,Real Madrid CF,133
9,Xavi Hernández,FC Barcelona,151
10,Raúl González,Real Madrid CF,130
11,Raúl González,FC Schalke 04,12
12,Thomas Müller,FC Bayern München,142
13,Ryan Giggs,Manchester United FC,141
14,Toni Kroos,FC Bayern München,41
15,Toni Kroos,Real Madrid CF,98
16,Sergio Ramos,Real Madrid CF,129
17,Sergio Ramos,Paris Saint-Germain,8
18,Manuel Neuer,FC Schalke 04,22
19,Manuel Neuer,FC Bayern München,109
20,Andrés Iniesta,FC Barcelona,130
21,Sergio Busquets,FC Barcelona,129
22,Gerard Piqué,Manchester United FC,4
23,Gerard Piqué,FC Barcelona,124
24,Clarence Seedorf,AFC Ajax,11
25,Clarence Seedorf,Real Madrid CF,25
26,Clarence Seedorf,AC Milan,89
27,Gianluigi Buffon,Parma FC,6
28,Gianluigi Buffon,Paris Saint-Germain,5
29,Gianluigi Buffon,Juventus,113
30,Zlatan Ibrahimović,AFC Ajax,19
31,Zlatan Ibrahimović,Juventus,19
32,Zlatan Ibrahimović,FC Internazionale Milano,22
33,Zlatan Ibrahimović,FC Barcelona,10
34,Zlatan Ibrahimović,Paris Saint-Germain,33
35,Zlatan Ibrahimović,Manchester United FC,1
36,Zlatan Ibrahimović,AC Milan,20
37,Paul Scholes,Manchester United FC,124
38,Roberto Carlos,Real Madrid CF,107
39,Roberto Carlos,Fenerbahçe SK,13
40,Xabi Alonso,Real Sociedad de Fútbol,8
41,Xabi Alonso,Liverpool FC,39
42,Xabi Alonso,Real Madrid CF,47
43,Xabi Alonso,FC Bayern München,25
44,Luka Modrić,Tottenham Hotspur,8
45,Luka Modrić,Real Madrid CF,109
46,Carles Puyol,FC Barcelona,115
47,David Alaba,FC Bayern München,91
48,David Alaba,Real Madrid CF,23
49,Pepe,Real Madrid CF,71
50,Pepe,Beşiktaş JK,6
51,Pepe,FC Porto,36
52,Thierry Henry,AS Monaco FC,9
53,Thierry Henry,FC Barcelona,26
54,Thierry Henry,Arsenal FC,77
55,Philipp Lahm,VfB Stuttgart,7
56,Philipp Lahm,FC Bayern München,105
57,Dani Alves,Sevilla FC,8
58,Dani Alves,FC Barcelona,80
59,Dani Alves,Juventus,12
60,Dani Alves,Paris Saint-Germain,11
61,Petr Čech,AC Sparta Praha,12
62,Petr Čech,Chelsea FC,94
63,Petr Čech,Arsenal FC,5
64,Robert Lewandowski,Borussia Dortmund,28
65,Robert Lewandowski,FC Bayern München,78
66,Robert Lewandowski,FC Barcelona,5
67,Arjen Robben,PSV Eindhoven,10
68,Arjen Robben,Chelsea FC,19
69,Arjen Robben,Real Madrid CF,11
70,Arjen Robben,FC Bayern München,70
71,Paolo Maldini,AC Milan,109
72,Gary Neville,Manchester United FC,109
73,John Terry,Chelsea FC,109
74,Ashley Cole,Arsenal FC,45
75,Ashley Cole,Chelsea FC,60
76,Ashley Cole,AS Roma,3
77,Patrice Evra,AS Monaco FC,21
78,Patrice Evra,Manchester United FC,65
79,Patrice Evra,Juventus,22
80,Andrea Pirlo,FC Internazionale Milano,5
81,Andrea Pirlo,AC Milan,78
82,Andrea Pirlo,Juventus,25
83,David Beckham,Manchester United FC,77
84,David Beckham,Real Madrid CF,26
85,David Beckham,AC Milan,2
86,David Beckham,Paris Saint-Germain,2
87,Víctor Valdés,FC Barcelona,106
88,Thiago Silva,AC Milan,20
89,Thiago Silva,Paris Saint-Germain,60
90,Thiago Silva,Chelsea FC,25
91,Frank Lampard,Chelsea FC,102
92,Frank Lampard,Manchester City FC,3
93,Cesc Fàbregas,Arsenal FC,55
94,Cesc Fàbregas,FC Barcelona,26
95,Cesc Fàbregas,Chelsea FC,23
96,Oliver Kahn,FC Bayern München,103
97,Luís Figo,FC Barcelona,24
98,Luís Figo,Real Madrid CF,58
99,Luís Figo,FC Internazionale Milano,21
