,Player,Club,Goals
0,Cristiano Ronaldo,Real Madrid CF,105
1,Cristiano Ronaldo,Juventus,14
2,Cristiano Ronaldo,Manchester United FC,21
3,Lionel Messi,FC Barcelona,120
4,Lionel Messi,Paris Saint-Germain,9
5,Robert Lewandowski,Borussia Dortmund,17
6,Robert Lewandowski,FC Bayern München,69
7,Robert Lewandowski,FC Barcelona,5
8,Karim Benzema,Olympique Lyonnais,12
9,Karim Benzema,Real Madrid CF,78
10,Raúl González,Real Madrid CF,66
11,Raúl González,FC Schalke 04,5
12,Ruud van Nistelrooy,PSV Eindhoven,8
13,Ruud van Nistelrooy,Manchester United FC,35
14,Ruud van Nistelrooy,Real Madrid CF,13
15,Thomas Müller,FC Bayern München,53
16,Thierry Henry,AS Monaco FC,7
17,Thierry Henry,Arsenal FC,35
18,Thierry Henry,FC Barcelona,8
19,Zlatan Ibrahimović,AFC Ajax,6
20,Zlatan Ibrahimović,Juventus,3
21,Zlatan Ibrahimović,FC Internazionale Milano,6
22,Zlatan Ibrahimović,FC Barcelona,4
23,Zlatan Ibrahimović,Paris Saint-Germain,20
24,Zlatan Ibrahimović,Manchester United FC,0
25,Zlatan Ibrahimović,AC Milan,9
26,Andriy Shevchenko,AC Milan,29
27,Andriy Shevchenko,Chelsea FC,4
28,Andriy Shevchenko,FC Dynamo Kyiv,15
29,Filippo Inzaghi,Juventus,17
30,Filippo Inzaghi,AC Milan,29
31,Didier Drogba,Olympique de Marseille,5
32,Didier Drogba,Galatasaray AŞ,3
33,Didier Drogba,Chelsea FC,36
34,Mohamed Salah,FC Basel 1893,2
35,Mohamed Salah,Chelsea FC,0
36,Mohamed Salah,AS Roma,1
37,Mohamed Salah,Liverpool FC,41
38,Neymar,FC Barcelona,21
39,Neymar,Paris Saint-Germain,22
40,Alessandro Del Piero,Juventus,42
41,Sergio Agüero,Club Atlético de Madrid,5
42,Sergio Agüero,Manchester City FC,36
43,Sergio Agüero,FC Barcelona,0
44,Kylian Mbappé,AS Monaco FC,6
45,Kylian Mbappé,Paris Saint-Germain,34
46,Edinson Cavani,SSC Napoli,5
47,Edinson Cavani,Paris Saint-Germain,30
48,Edinson Cavani,Manchester United FC,0
49,Erling Haaland,FC Salzburg,8
50,Erling Haaland,Borussia Dortmund,15
51,Erling Haaland,Manchester City FC,12
52,Fernando Morientes,Real Madrid CF,17
53,Fernando Morientes,AS Monaco FC,9
54,Fernando Morientes,Liverpool FC,1
55,Fernando Morientes,Valencia CF,6
56,Arjen Robben,PSV Eindhoven,3
57,Arjen Robben,Chelsea FC,2
58,Arjen Robben,Real Madrid CF,1
59,Arjen Robben,FC Bayern München,25
60,Samuel Eto’o,RCD Mallorca,1
61,Samuel Eto’o,FC Barcelona,16
62,Samuel Eto’o,FC Internazionale Milano,10
63,Samuel Eto’o,Chelsea FC,3
64,Antoine Griezmann,FC Barcelona,4
65,Antoine Griezmann,Club Atlético de Madrid,26
66,Kaká,Real Madrid CF,5
67,Kaká,AC Milan,25
68,Wayne Rooney,Manchester United FC,30
69,Edin Džeko,VfL Wolfsburg,4
70,Edin Džeko,Manchester City FC,3
71,Edin Džeko,AS Roma,15
72,Edin Džeko,FC Internazionale Milano,7
73,Patrick Kluivert,AFC Ajax,9
74,Patrick Kluivert,FC Barcelona,20
75,Roy Makaay,Real Club Deportivo La Coruña,12
76,Roy Makaay,FC Bayern München,17
77,David Trezeguet,AS Monaco FC,4
78,David Trezeguet,Juventus,25
79,Ryan Giggs,Manchester United FC,28
80,Rivaldo,FC Barcelona,22
81,Rivaldo,AC Milan,2
82,Rivaldo,Olympiacos FC,3
83,Sadio Mané,Liverpool FC,24
84,Sadio Mané,FC Bayern München,3
85,Lisandro,FC Porto,13
86,Lisandro,Olympique Lyonnais,6
87,Luis Enrique,FC Barcelona,19
88,Ole Gunnar Solskjær,Manchester United FC,19
89,Heung-Min Son,Bayer 04 Leverkusen,3
90,Heung-Min Son,Tottenham Hotspur,16
91,Willian,FC Shakhtar Donetsk,8
92,Willian,Chelsea FC,10
93,John Carew,Rosenborg BK,5
94,John Carew,Valencia CF,8
